gcf	description	gene_name	accver	gene_location	locus_tag	organism_name	infraspecific_name	taxid	species_taxid
GCF_000468915.2	Campylobacter jejuni subsp. jejuni 00-2425, complete genome	16S ribosomal RNA	NC_022362.2	[737163:738681](+)	N135_RS03940	Campylobacter jejuni subsp. jejuni 00-2425	strain=00-2425	1357994	197
GCF_000470055.1	Campylobacter coli 76339, complete genome	16S ribosomal RNA	NC_022132.1	join{[0:495](-), [1583342:1584486](-)}	BN865_RS00005	Campylobacter coli 76339	strain=76339	1367491	195
GCF_000470055.1	Campylobacter coli 76339, complete genome	16S ribosomal RNA	NC_022132.1	[377652:379170](+)	BN865_RS01990	Campylobacter coli 76339	strain=76339	1367491	195
GCF_000470055.1	Campylobacter coli 76339, complete genome	16S ribosomal RNA	NC_022132.1	[1315827:1317345](-)	BN865_RS06575	Campylobacter coli 76339	strain=76339	1367491	195
GCF_000493495.1	Campylobacter jejuni 4031 genome sequence	16S ribosomal RNA	NC_022529.1	[37505:39023](+)	BN867_RS00145	Campylobacter jejuni 4031	strain=4031	1347340	197
GCF_000493495.1	Campylobacter jejuni 4031 genome sequence	16S ribosomal RNA	NC_022529.1	[384611:386129](+)	BN867_RS02035	Campylobacter jejuni 4031	strain=4031	1347340	197
GCF_000493495.1	Campylobacter jejuni 4031 genome sequence	16S ribosomal RNA	NC_022529.1	[725866:727384](+)	BN867_RS03835	Campylobacter jejuni 4031	strain=4031	1347340	197
GCF_000494775.1	Campylobacter coli 15-537360, complete genome	16S ribosomal RNA	NC_022660.1	[36955:38473](+)	N149_RS00145	Campylobacter coli 15-537360	strain=15-537360	1358410	195
GCF_000494775.1	Campylobacter coli 15-537360, complete genome	16S ribosomal RNA	NC_022660.1	[429397:430915](+)	N149_RS02190	Campylobacter coli 15-537360	strain=15-537360	1358410	195
GCF_000494775.1	Campylobacter coli 15-537360, complete genome	16S ribosomal RNA	NC_022660.1	[691641:693159](+)	N149_RS03500	Campylobacter coli 15-537360	strain=15-537360	1358410	195
GCF_000498315.1	Helicobacter pylori BM012A, complete genome	16S ribosomal RNA	NC_022886.1	[210022:211532](+)	U063_RS01035	Helicobacter pylori BM012A	strain=BM012A	1407462	210
GCF_000498315.1	Helicobacter pylori BM012A, complete genome	16S ribosomal RNA	NC_022886.1	[1486490:1488000](-)	U063_RS07305	Helicobacter pylori BM012A	strain=BM012A	1407462	210
GCF_000498335.1	Helicobacter pylori BM012S, complete genome	16S ribosomal RNA	NC_022911.1	[210032:211542](+)	U064_RS01035	Helicobacter pylori BM012S	strain=BM012S	1407463	210
GCF_000498335.1	Helicobacter pylori BM012S, complete genome	16S ribosomal RNA	NC_022911.1	[1486534:1488044](-)	U064_RS07310	Helicobacter pylori BM012S	strain=BM012S	1407463	210
GCF_000512745.2	Campylobacter fetus subsp. venerealis cfvi03/293, complete genome	16S ribosomal RNA	NZ_CP006999.2	[133692:135212](+)	CFVI03293_RS00765	Campylobacter fetus subsp. venerealis cfvi03/293	strain=cfvi03/293	1273266	196
GCF_000512745.2	Campylobacter fetus subsp. venerealis cfvi03/293, complete genome	16S ribosomal RNA	NZ_CP006999.2	[509589:511109](+)	CFVI03293_RS02520	Campylobacter fetus subsp. venerealis cfvi03/293	strain=cfvi03/293	1273266	196
GCF_000512745.2	Campylobacter fetus subsp. venerealis cfvi03/293, complete genome	16S ribosomal RNA	NZ_CP006999.2	[604367:605887](+)	CFVI03293_RS02950	Campylobacter fetus subsp. venerealis cfvi03/293	strain=cfvi03/293	1273266	196
GCF_000568815.1	Sulfurospirillum multivorans DSM 12446, complete genome	16S ribosomal RNA	NZ_CP007201.1	[2243840:2245353](-)	SMUL_RS11640	Sulfurospirillum multivorans DSM 12446	strain=DSM 12446	1150621	66821
GCF_000568815.1	Sulfurospirillum multivorans DSM 12446, complete genome	16S ribosomal RNA	NZ_CP007201.1	[3136712:3138225](-)	SMUL_RS16270	Sulfurospirillum multivorans DSM 12446	strain=DSM 12446	1150621	66821
GCF_000583755.1	Campylobacter coli RM1875, complete genome	16S ribosomal RNA	NZ_CP007183.1	[36610:38128](+)	YSQ_RS00145	Campylobacter coli RM1875	strain=RM1875	1183378	195
GCF_000583755.1	Campylobacter coli RM1875, complete genome	16S ribosomal RNA	NZ_CP007183.1	[1085185:1086703](-)	YSQ_RS05530	Campylobacter coli RM1875	strain=RM1875	1183378	195
GCF_000583755.1	Campylobacter coli RM1875, complete genome	16S ribosomal RNA	NZ_CP007183.1	[1449347:1450865](-)	YSQ_RS07500	Campylobacter coli RM1875	strain=RM1875	1183378	195
GCF_000583775.1	Campylobacter coli RM4661, complete genome	16S ribosomal RNA	NZ_CP007181.1	[36456:37972](+)	YSS_RS00145	Campylobacter coli RM4661	strain=RM4661	1183379	195
GCF_000583775.1	Campylobacter coli RM4661, complete genome	16S ribosomal RNA	NZ_CP007181.1	[371635:373151](+)	YSS_RS01910	Campylobacter coli RM4661	strain=RM4661	1183379	195
GCF_000583775.1	Campylobacter coli RM4661, complete genome	16S ribosomal RNA	NZ_CP007181.1	[661726:663242](+)	YSS_RS03370	Campylobacter coli RM4661	strain=RM4661	1183379	195
GCF_000583795.1	Campylobacter coli RM5611, complete genome	16S ribosomal RNA	NZ_CP007179.1	[36723:38241](+)	YSU_RS00150	Campylobacter coli RM5611	strain=RM5611	1183380	195
GCF_000583795.1	Campylobacter coli RM5611, complete genome	16S ribosomal RNA	NZ_CP007179.1	[1046605:1048123](-)	YSU_RS05215	Campylobacter coli RM5611	strain=RM5611	1183380	195
GCF_000583795.1	Campylobacter coli RM5611, complete genome	16S ribosomal RNA	NZ_CP007179.1	[1325589:1327107](-)	YSU_RS06605	Campylobacter coli RM5611	strain=RM5611	1183380	195
GCF_000590775.1	Helicobacter pylori SouthAfrica20, complete genome	16S ribosomal RNA	NC_022130.1	[1152869:1154377](-)	HPSA20_RS05450	Helicobacter pylori SouthAfrica20	strain=SouthAfrica20	1352356	210
GCF_000590775.1	Helicobacter pylori SouthAfrica20, complete genome	16S ribosomal RNA	NC_022130.1	[1381587:1383095](-)	HPSA20_RS06635	Helicobacter pylori SouthAfrica20	strain=SouthAfrica20	1352356	210
GCF_000600045.1	Helicobacter pylori oki102, complete genome	16S ribosomal RNA	NZ_CP006820.1	[1223078:1224588](-)	HPOKI102_RS05795	Helicobacter pylori oki102	strain=oki102	1382920	210
GCF_000600045.1	Helicobacter pylori oki102, complete genome	16S ribosomal RNA	NZ_CP006820.1	[1451727:1453237](-)	HPOKI102_RS06985	Helicobacter pylori oki102	strain=oki102	1382920	210
GCF_000600085.1	Helicobacter pylori oki112, complete genome	16S ribosomal RNA	NZ_CP006821.1	[1229150:1230660](-)	HPOKI112_RS05830	Helicobacter pylori oki112	strain=oki112	1382921	210
GCF_000600085.1	Helicobacter pylori oki112, complete genome	16S ribosomal RNA	NZ_CP006821.1	[1456884:1458394](-)	HPOKI112_RS07015	Helicobacter pylori oki112	strain=oki112	1382921	210
GCF_000600125.1	Helicobacter pylori oki128, complete genome	16S ribosomal RNA	NZ_CP006822.1	[1103322:1104833](-)	HPOKI128_RS05275	Helicobacter pylori oki128	strain=oki128	1382922	210
GCF_000600125.1	Helicobacter pylori oki128, complete genome	16S ribosomal RNA	NZ_CP006822.1	[1383837:1385348](+)	HPOKI128_RS06590	Helicobacter pylori oki128	strain=oki128	1382922	210
GCF_000600145.1	Helicobacter pylori oki154, complete genome	16S ribosomal RNA	NZ_CP006823.1	[1150845:1152356](-)	HPOKI154_RS05485	Helicobacter pylori oki154	strain=oki154	1382923	210
GCF_000600145.1	Helicobacter pylori oki154, complete genome	16S ribosomal RNA	NZ_CP006823.1	[1422998:1424509](-)	HPOKI154_RS06905	Helicobacter pylori oki154	strain=oki154	1382923	210
GCF_000600165.1	Helicobacter pylori oki422, complete genome	16S ribosomal RNA	NZ_CP006824.1	[1224274:1225784](-)	HPOKI422_RS05815	Helicobacter pylori oki422	strain=oki422	1382924	210
GCF_000600165.1	Helicobacter pylori oki422, complete genome	16S ribosomal RNA	NZ_CP006824.1	[1452998:1454508](-)	HPOKI422_RS07015	Helicobacter pylori oki422	strain=oki422	1382924	210
GCF_000600185.1	Helicobacter pylori oki673, complete genome	16S ribosomal RNA	NZ_CP006825.1	[1146278:1147789](-)	HPOKI673_RS05455	Helicobacter pylori oki673	strain=oki673	1382925	210
GCF_000600185.1	Helicobacter pylori oki673, complete genome	16S ribosomal RNA	NZ_CP006825.1	[1418360:1419871](-)	HPOKI673_RS06860	Helicobacter pylori oki673	strain=oki673	1382925	210
GCF_000600205.1	Helicobacter pylori oki828, complete genome	16S ribosomal RNA	NZ_CP006826.1	[1151431:1152942](-)	HPOKI828_RS05480	Helicobacter pylori oki828	strain=oki828	1382926	210
GCF_000600205.1	Helicobacter pylori oki828, complete genome	16S ribosomal RNA	NZ_CP006826.1	[1423862:1425373](-)	HPOKI828_RS06885	Helicobacter pylori oki828	strain=oki828	1382926	210
GCF_000600225.1	Helicobacter pylori oki898, complete genome	16S ribosomal RNA	NZ_CP006827.1	[1225858:1227368](-)	HPOKI898_RS05785	Helicobacter pylori oki898	strain=oki898	1382927	210
GCF_000600225.1	Helicobacter pylori oki898, complete genome	16S ribosomal RNA	NZ_CP006827.1	[1454598:1456108](-)	HPOKI898_RS06985	Helicobacter pylori oki898	strain=oki898	1382927	210
GCF_000632435.1	Campylobacter jejuni subsp. jejuni R14, complete genome	16S ribosomal RNA	NZ_CP005081.1	[37372:38888](+)	H730_RS00145	Campylobacter jejuni subsp. jejuni R14	strain=R14	1295010	197
GCF_000632435.1	Campylobacter jejuni subsp. jejuni R14, complete genome	16S ribosomal RNA	NZ_CP005081.1	[462726:464242](+)	H730_RS02630	Campylobacter jejuni subsp. jejuni R14	strain=R14	1295010	197
GCF_000632435.1	Campylobacter jejuni subsp. jejuni R14, complete genome	16S ribosomal RNA	NZ_CP005081.1	[803223:804739](+)	H730_RS04480	Campylobacter jejuni subsp. jejuni R14	strain=R14	1295010	197
GCF_000685625.1	Helicobacter pylori J166, complete genome	16S ribosomal RNA	NZ_CP007603.1	[1242130:1243640](-)	EG65_RS05835	Helicobacter pylori J166	strain=J166	102611	210
GCF_000685625.1	Helicobacter pylori J166, complete genome	16S ribosomal RNA	NZ_CP007603.1	[1467636:1469146](-)	EG65_RS07010	Helicobacter pylori J166	strain=J166	102611	210
GCF_000685665.1	Helicobacter pylori strain BM013A, complete genome	16S ribosomal RNA	NZ_CP007604.1	[1101636:1103146](-)	EG63_RS05280	Helicobacter pylori	strain=BM013A	210	210
GCF_000685665.1	Helicobacter pylori strain BM013A, complete genome	16S ribosomal RNA	NZ_CP007604.1	[1383532:1385042](-)	EG63_RS06740	Helicobacter pylori	strain=BM013A	210	210
GCF_000685705.1	Helicobacter pylori strain BM012B, complete genome	16S ribosomal RNA	NZ_CP007605.1	[209812:211322](+)	EG66_RS01030	Helicobacter pylori	strain=BM012B	210	210
GCF_000685705.1	Helicobacter pylori strain BM012B, complete genome	16S ribosomal RNA	NZ_CP007605.1	[1485171:1486681](-)	EG66_RS07290	Helicobacter pylori	strain=BM012B	210	210
GCF_000685745.1	Helicobacter pylori strain BM013B, complete genome	16S ribosomal RNA	NZ_CP007606.1	[1101622:1103132](-)	EG64_RS05280	Helicobacter pylori	strain=BM013B	210	210
GCF_000685745.1	Helicobacter pylori strain BM013B, complete genome	16S ribosomal RNA	NZ_CP007606.1	[1383511:1385021](-)	EG64_RS06745	Helicobacter pylori	strain=BM013B	210	210
GCF_000736415.1	Campylobacter iguaniorum strain 1485E chromosome, complete genome	16S ribosomal RNA	NZ_CP009043.1	[161007:162526](+)	CIG1485E_RS00830	Campylobacter iguaniorum	strain=1485E	1244531	1244531
GCF_000736415.1	Campylobacter iguaniorum strain 1485E chromosome, complete genome	16S ribosomal RNA	NZ_CP009043.1	[562576:564095](+)	CIG1485E_RS02905	Campylobacter iguaniorum	strain=1485E	1244531	1244531
GCF_000736415.1	Campylobacter iguaniorum strain 1485E chromosome, complete genome	16S ribosomal RNA	NZ_CP009043.1	[642314:643833](+)	CIG1485E_RS03255	Campylobacter iguaniorum	strain=1485E	1244531	1244531
GCF_000737085.1	Campylobacter jejuni subsp. jejuni strain MTVDSCj20, complete genome	16S ribosomal RNA	NZ_CP008787.1	[37541:39059](+)	MTVDSCJ20_RS00145	Campylobacter jejuni subsp. jejuni	strain=MTVDSCj20	32022	197
GCF_000737085.1	Campylobacter jejuni subsp. jejuni strain MTVDSCj20, complete genome	16S ribosomal RNA	NZ_CP008787.1	[396500:398018](+)	MTVDSCJ20_RS02065	Campylobacter jejuni subsp. jejuni	strain=MTVDSCj20	32022	197
GCF_000737085.1	Campylobacter jejuni subsp. jejuni strain MTVDSCj20, complete genome	16S ribosomal RNA	NZ_CP008787.1	[737056:738574](+)	MTVDSCJ20_RS03870	Campylobacter jejuni subsp. jejuni	strain=MTVDSCj20	32022	197
GCF_000759485.1	Campylobacter fetus subsp. fetus 04/554, complete genome	16S ribosomal RNA	NZ_CP008808.1	[133466:134986](+)	CFF04554_RS00760	Campylobacter fetus subsp. fetus 04/554	strain=04/554	1240980	196
GCF_000759485.1	Campylobacter fetus subsp. fetus 04/554, complete genome	16S ribosomal RNA	NZ_CP008808.1	[504610:506130](+)	CFF04554_RS02495	Campylobacter fetus subsp. fetus 04/554	strain=04/554	1240980	196
GCF_000759485.1	Campylobacter fetus subsp. fetus 04/554, complete genome	16S ribosomal RNA	NZ_CP008808.1	[600363:601883](+)	CFF04554_RS02930	Campylobacter fetus subsp. fetus 04/554	strain=04/554	1240980	196
GCF_000759515.1	Campylobacter fetus subsp. venerealis 97/608 chromosome, complete genome	16S ribosomal RNA	NZ_CP008810.1	[135669:137189](+)	CFV97608_RS00770	Campylobacter fetus subsp. venerealis 97/608	strain=97/608	1093099	196
GCF_000759515.1	Campylobacter fetus subsp. venerealis 97/608 chromosome, complete genome	16S ribosomal RNA	NZ_CP008810.1	[540303:541823](+)	CFV97608_RS02715	Campylobacter fetus subsp. venerealis 97/608	strain=97/608	1093099	196
GCF_000759515.1	Campylobacter fetus subsp. venerealis 97/608 chromosome, complete genome	16S ribosomal RNA	NZ_CP008810.1	[637055:638575](+)	CFV97608_RS03155	Campylobacter fetus subsp. venerealis 97/608	strain=97/608	1093099	196
GCF_000772225.1	Campylobacter jejuni subsp. jejuni F38011, complete genome	16S ribosomal RNA	NZ_CP006851.1	[39129:40647](+)	CJH_RS00150	Campylobacter jejuni subsp. jejuni F38011	strain=F38011	1408176	197
GCF_000772225.1	Campylobacter jejuni subsp. jejuni F38011, complete genome	16S ribosomal RNA	NZ_CP006851.1	[400031:401549](+)	CJH_RS02120	Campylobacter jejuni subsp. jejuni F38011	strain=F38011	1408176	197
GCF_000772225.1	Campylobacter jejuni subsp. jejuni F38011, complete genome	16S ribosomal RNA	NZ_CP006851.1	[703754:705272](+)	CJH_RS03690	Campylobacter jejuni subsp. jejuni F38011	strain=F38011	1408176	197
GCF_000807355.1	Campylobacter jejuni subsp. jejuni strain YH001, complete genome	16S ribosomal RNA	NZ_CP010058.1	[37369:38885](+)	QZ67_RS00145	Campylobacter jejuni subsp. jejuni	strain=YH001	32022	197
GCF_000807355.1	Campylobacter jejuni subsp. jejuni strain YH001, complete genome	16S ribosomal RNA	NZ_CP010058.1	[394430:395946](+)	QZ67_RS02100	Campylobacter jejuni subsp. jejuni	strain=YH001	32022	197
GCF_000807355.1	Campylobacter jejuni subsp. jejuni strain YH001, complete genome	16S ribosomal RNA	NZ_CP010058.1	[732725:734241](+)	QZ67_RS03960	Campylobacter jejuni subsp. jejuni	strain=YH001	32022	197
GCF_000814265.1	Campylobacter fetus subsp. testudinum strain pet-3, complete genome	16S ribosomal RNA	NZ_CP009226.1	[139110:140629](+)	CR44_RS00790	Campylobacter fetus subsp. testudinum	strain=pet-3	1507806	196
GCF_000814265.1	Campylobacter fetus subsp. testudinum strain pet-3, complete genome	16S ribosomal RNA	NZ_CP009226.1	[522505:524024](+)	CR44_RS02570	Campylobacter fetus subsp. testudinum	strain=pet-3	1507806	196
GCF_000814265.1	Campylobacter fetus subsp. testudinum strain pet-3, complete genome	16S ribosomal RNA	NZ_CP009226.1	[616953:618472](+)	CR44_RS03000	Campylobacter fetus subsp. testudinum	strain=pet-3	1507806	196
GCF_000816185.1	Campylobacter insulaenigrae NCTC 12927, complete genome	16S ribosomal RNA	NZ_CP007770.1	[411536:413054](+)	CINS_RS02195	Campylobacter insulaenigrae NCTC 12927	strain=NCTC 12927	1031564	260714
GCF_000816185.1	Campylobacter insulaenigrae NCTC 12927, complete genome	16S ribosomal RNA	NZ_CP007770.1	[501060:502578](+)	CINS_RS02640	Campylobacter insulaenigrae NCTC 12927	strain=NCTC 12927	1031564	260714
GCF_000816185.1	Campylobacter insulaenigrae NCTC 12927, complete genome	16S ribosomal RNA	NZ_CP007770.1	[1361951:1363469](-)	CINS_RS07000	Campylobacter insulaenigrae NCTC 12927	strain=NCTC 12927	1031564	260714
GCF_000816225.1	Campylobacter lari subsp. concheus LMG 11760, complete genome	16S ribosomal RNA	NZ_CP007771.1	[433092:434611](+)	CONCH_RS02330	Campylobacter lari subsp. concheus LMG 11760	strain=LMG 11760	1031536	201
GCF_000816225.1	Campylobacter lari subsp. concheus LMG 11760, complete genome	16S ribosomal RNA	NZ_CP007771.1	[484638:486157](+)	CONCH_RS02610	Campylobacter lari subsp. concheus LMG 11760	strain=LMG 11760	1031536	201
GCF_000816225.1	Campylobacter lari subsp. concheus LMG 11760, complete genome	16S ribosomal RNA	NZ_CP007771.1	[1374557:1376076](-)	CONCH_RS07040	Campylobacter lari subsp. concheus LMG 11760	strain=LMG 11760	1031536	201
GCF_000816245.1	Campylobacter sp. RM16704, complete genome	16S ribosomal RNA	NZ_CP007769.1	[454230:455747](+)	CAQ16704_RS02405	Campylobacter sp. RM16704	strain=RM16704	1500960	1500960
GCF_000816245.1	Campylobacter sp. RM16704, complete genome	16S ribosomal RNA	NZ_CP007769.1	[513965:515482](+)	CAQ16704_RS02705	Campylobacter sp. RM16704	strain=RM16704	1500960	1500960
GCF_000816245.1	Campylobacter sp. RM16704, complete genome	16S ribosomal RNA	NZ_CP007769.1	[1430713:1432230](-)	CAQ16704_RS07310	Campylobacter sp. RM16704	strain=RM16704	1500960	1500960
GCF_000816265.1	Campylobacter subantarcticus LMG 24374, complete genome	16S ribosomal RNA	NZ_CP007772.1	[474403:475922](+)	CSUB8521_RS02460	Campylobacter subantarcticus LMG 24374	strain=LMG 24374	1388751	497724
GCF_000816265.1	Campylobacter subantarcticus LMG 24374, complete genome	16S ribosomal RNA	NZ_CP007772.1	[528059:529578](+)	CSUB8521_RS02755	Campylobacter subantarcticus LMG 24374	strain=LMG 24374	1388751	497724
GCF_000816265.1	Campylobacter subantarcticus LMG 24374, complete genome	16S ribosomal RNA	NZ_CP007772.1	[1650581:1652100](-)	CSUB8521_RS08290	Campylobacter subantarcticus LMG 24374	strain=LMG 24374	1388751	497724
GCF_000816305.1	Campylobacter subantarcticus LMG 24377, complete genome	16S ribosomal RNA	NZ_CP007773.1	[452129:453648](+)	CSUB8523_RS02405	Campylobacter subantarcticus LMG 24377	strain=LMG 24377	1388752	497724
GCF_000816305.1	Campylobacter subantarcticus LMG 24377, complete genome	16S ribosomal RNA	NZ_CP007773.1	[505583:507102](+)	CSUB8523_RS02700	Campylobacter subantarcticus LMG 24377	strain=LMG 24377	1388752	497724
GCF_000816305.1	Campylobacter subantarcticus LMG 24377, complete genome	16S ribosomal RNA	NZ_CP007773.1	[1721483:1723002](-)	CSUB8523_RS08785	Campylobacter subantarcticus LMG 24377	strain=LMG 24377	1388752	497724
GCF_000816345.1	Campylobacter volucris LMG 24379, complete genome	16S ribosomal RNA	NZ_CP007774.1	[422679:424197](+)	CVOL_RS02265	Campylobacter volucris LMG 24379	strain=LMG 24379	580033	1031542
GCF_000816345.1	Campylobacter volucris LMG 24379, complete genome	16S ribosomal RNA	NZ_CP007774.1	[516913:518431](+)	CVOL_RS02735	Campylobacter volucris LMG 24379	strain=LMG 24379	580033	1031542
GCF_000816345.1	Campylobacter volucris LMG 24379, complete genome	16S ribosomal RNA	NZ_CP007774.1	[1414931:1416449](-)	CVOL_RS07270	Campylobacter volucris LMG 24379	strain=LMG 24379	580033	1031542
GCF_000816365.1	Campylobacter lari NCTC 11845 chromosome, complete genome	16S ribosomal RNA	NZ_CP007775.1	[467310:468829](+)	UPTC3659_RS02430	Campylobacter lari NCTC 11845	strain=NCTC 11845	1388749	201
GCF_000816365.1	Campylobacter lari NCTC 11845 chromosome, complete genome	16S ribosomal RNA	NZ_CP007775.1	[532006:533525](+)	UPTC3659_RS02755	Campylobacter lari NCTC 11845	strain=NCTC 11845	1388749	201
GCF_000816365.1	Campylobacter lari NCTC 11845 chromosome, complete genome	16S ribosomal RNA	NZ_CP007775.1	[1680699:1682218](-)	UPTC3659_RS08380	Campylobacter lari NCTC 11845	strain=NCTC 11845	1388749	201
GCF_000816385.2	Campylobacter lari CCUG 22395 chromosome, complete genome	16S ribosomal RNA	NZ_CP007776.2	[432364:433883](+)	UPTC4110_RS02295	Campylobacter lari CCUG 22395	strain=CCUG 22395	1388750	201
GCF_000816385.2	Campylobacter lari CCUG 22395 chromosome, complete genome	16S ribosomal RNA	NZ_CP007776.2	[488817:490336](+)	UPTC4110_RS02615	Campylobacter lari CCUG 22395	strain=CCUG 22395	1388750	201
GCF_000816385.2	Campylobacter lari CCUG 22395 chromosome, complete genome	16S ribosomal RNA	NZ_CP007776.2	[1404413:1405932](-)	UPTC4110_RS07175	Campylobacter lari CCUG 22395	strain=CCUG 22395	1388750	201
GCF_000816405.1	Campylobacter lari RM16701 chromosome, complete genome	16S ribosomal RNA	NZ_CP007777.1	[430118:431637](+)	UPTC16701_RS02285	Campylobacter lari RM16701	strain=RM16701	1453989	201
GCF_000816405.1	Campylobacter lari RM16701 chromosome, complete genome	16S ribosomal RNA	NZ_CP007777.1	[483358:484877](+)	UPTC16701_RS02565	Campylobacter lari RM16701	strain=RM16701	1453989	201
GCF_000816405.1	Campylobacter lari RM16701 chromosome, complete genome	16S ribosomal RNA	NZ_CP007777.1	[1410380:1411899](-)	UPTC16701_RS07130	Campylobacter lari RM16701	strain=RM16701	1453989	201
GCF_000816425.1	Campylobacter lari RM16712 chromosome, complete genome	16S ribosomal RNA	NZ_CP007778.1	[442613:444132](+)	UPTC16712_RS02350	Campylobacter lari RM16712	strain=RM16712	1453988	201
GCF_000816425.1	Campylobacter lari RM16712 chromosome, complete genome	16S ribosomal RNA	NZ_CP007778.1	[495313:496832](+)	UPTC16712_RS02635	Campylobacter lari RM16712	strain=RM16712	1453988	201
GCF_000816425.1	Campylobacter lari RM16712 chromosome, complete genome	16S ribosomal RNA	NZ_CP007778.1	[1439138:1440657](-)	UPTC16712_RS07270	Campylobacter lari RM16712	strain=RM16712	1453988	201
GCF_000816785.1	Campylobacter peloridis LMG 23910, complete genome	16S ribosomal RNA	NZ_CP007766.1	[479521:481039](+)	CPEL_RS02365	Campylobacter peloridis LMG 23910	strain=LMG 23910	1388753	488546
GCF_000816785.1	Campylobacter peloridis LMG 23910, complete genome	16S ribosomal RNA	NZ_CP007766.1	[572784:574302](+)	CPEL_RS02825	Campylobacter peloridis LMG 23910	strain=LMG 23910	1388753	488546
GCF_000816785.1	Campylobacter peloridis LMG 23910, complete genome	16S ribosomal RNA	NZ_CP007766.1	[1603492:1605010](-)	CPEL_RS07855	Campylobacter peloridis LMG 23910	strain=LMG 23910	1388753	488546
GCF_000817025.1	Helicobacter pylori strain Hp238, complete genome	16S ribosomal RNA	NZ_CP010013.1	[1402767:1404278](-)	OI67_RS06850	Helicobacter pylori	strain=Hp238	210	210
GCF_000826985.1	Helicobacter pylori 26695-1, complete genome	16S ribosomal RNA	NZ_CP010435.1	[1207478:1208923](-)	SE87_RS05885	Helicobacter pylori 26695-1	strain=26695-1	1391726	210
GCF_000826985.1	Helicobacter pylori 26695-1, complete genome	16S ribosomal RNA	NZ_CP010435.1	[1510897:1512405](-)	SE87_RS07420	Helicobacter pylori 26695-1	strain=26695-1	1391726	210
GCF_000827025.1	Helicobacter pylori strain 26695-1MET, complete genome	16S ribosomal RNA	NZ_CP010436.1	[1207199:1208648](-)	SE88_RS05885	Helicobacter pylori	strain=26695-1MET	210	210
GCF_000827025.1	Helicobacter pylori strain 26695-1MET, complete genome	16S ribosomal RNA	NZ_CP010436.1	[1510623:1512130](-)	SE88_RS07420	Helicobacter pylori	strain=26695-1MET	210	210
GCF_000828955.1	Helicobacter pylori NY40 DNA, complete genome	16S ribosomal RNA	NZ_AP014523.1	[115671:117180](-)	NY40_RS00610	Helicobacter pylori NY40	strain=NY40	1426844	210
GCF_000828955.1	Helicobacter pylori NY40 DNA, complete genome	16S ribosomal RNA	NZ_AP014523.1	[399953:401462](-)	NY40_RS02025	Helicobacter pylori NY40	strain=NY40	1426844	210
GCF_000829095.1	Helicobacter pylori 26695-1 DNA, complete genome	16S ribosomal RNA	NZ_AP013354.1	[1207478:1208923](-)	HP1WT_RS05885	Helicobacter pylori 26695-1	strain=26695-1	1391726	210
GCF_000829095.1	Helicobacter pylori 26695-1 DNA, complete genome	16S ribosomal RNA	NZ_AP013354.1	[1510897:1512405](-)	HP1WT_RS07420	Helicobacter pylori 26695-1	strain=26695-1	1391726	210
GCF_000829115.1	Helicobacter pylori 26695-1CL DNA, complete genome	16S ribosomal RNA	NZ_AP013356.1	[1207168:1208587](-)	HP1CL_RS05880	Helicobacter pylori 26695-1CL	strain=26695-1CL	1391727	210
GCF_000829115.1	Helicobacter pylori 26695-1CL DNA, complete genome	16S ribosomal RNA	NZ_AP013356.1	[1510560:1512066](-)	HP1CL_RS07405	Helicobacter pylori 26695-1CL	strain=26695-1CL	1391727	210
GCF_000829135.1	Helicobacter pylori 26695-1CH DNA, complete genome	16S ribosomal RNA	NZ_AP013355.1	[1207205:1208653](-)	HP1CH_RS05880	Helicobacter pylori 26695-1CH	strain=26695-1CH	1391728	210
GCF_000829135.1	Helicobacter pylori 26695-1CH DNA, complete genome	16S ribosomal RNA	NZ_AP013355.1	[1510624:1512129](-)	HP1CH_RS07410	Helicobacter pylori 26695-1CH	strain=26695-1CH	1391728	210
GCF_000830775.1	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5, complete genome	16S ribosomal RNA	NZ_CP006685.1	[39248:40766](+)	N920_RS00150	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	strain=NCTC 11168-K12E5	1385720	197
GCF_000830775.1	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5, complete genome	16S ribosomal RNA	NZ_CP006685.1	[394124:395642](+)	N920_RS02095	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	strain=NCTC 11168-K12E5	1385720	197
GCF_000830775.1	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5, complete genome	16S ribosomal RNA	NZ_CP006685.1	[696419:697937](+)	N920_RS03685	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	strain=NCTC 11168-K12E5	1385720	197
GCF_000830805.1	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1, complete genome	16S ribosomal RNA	NZ_CP006686.1	[39248:40766](+)	N919_RS00150	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	strain=NCTC 11168-Kf1	1385723	197
GCF_000830805.1	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1, complete genome	16S ribosomal RNA	NZ_CP006686.1	[394124:395642](+)	N919_RS02095	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	strain=NCTC 11168-Kf1	1385723	197
